pcode,name,storm_id,pcpout_mm,rain_geotiff_mm,diff_mm,diff_pct
BB01,Christ Church,sample_0085,186.09,194.71,8.62,4.63
BB01,Christ Church,sample_0086,186.52,195.6,9.08,4.87
BB01,Christ Church,sample_0087,174.7,179.24,4.54,2.6
BB01,Christ Church,sample_0088,148.79,157.87,9.08,6.1
BB01,Christ Church,sample_0089,127.41,131.17,3.77,2.96
BB01,Christ Church,sample_0090,264.83,267.16,2.33,0.88
BB01,Christ Church,sample_0091,191.3,196.07,4.77,2.49
BB01,Christ Church,sample_0092,208.64,208.42,-0.22,-0.1
BB01,Christ Church,sample_0093,205.14,216.72,11.58,5.65
BB01,Christ Church,sample_0094,253.62,259.3,5.67,2.24
BB01,Christ Church,sample_0095,259.02,260.11,1.09,0.42
BB01,Christ Church,sample_0096,204.1,209.27,5.17,2.53
BB01,Christ Church,sample_0097,55.88,59.21,3.33,5.96
BB01,Christ Church,sample_0098,224.39,234.28,9.89,4.41
BB01,Christ Church,sample_0099,198.39,201.57,3.18,1.6
BB01,Christ Church,sample_0100,188.05,199.56,11.51,6.12
BB01,Christ Church,sample_0101,307.59,312.67,5.07,1.65
BB01,Christ Church,sample_0102,286.96,294.17,7.21,2.51
BB01,Christ Church,sample_0103,353.12,355.49,2.37,0.67
BB01,Christ Church,sample_0104,125.26,128.98,3.72,2.97
BB01,Christ Church,sample_0105,298.16,304.93,6.77,2.27
BB01,Christ Church,sample_0106,358.2,362.68,4.48,1.25
BB01,Christ Church,sample_0107,245.18,250.17,4.99,2.04
BB01,Christ Church,sample_0108,359.77,367.6,7.84,2.18
BB01,Christ Church,sample_0109,222.46,231.84,9.38,4.22
BB01,Christ Church,sample_0110,336.58,340.0,3.42,1.02
BB01,Christ Church,sample_0111,290.35,297.91,7.57,2.61
BB01,Christ Church,sample_0112,326.79,330.76,3.97,1.21
BB01,Christ Church,sample_0113,320.28,324.74,4.46,1.39
BB01,Christ Church,sample_0114,271.09,281.84,10.75,3.97
BB01,Christ Church,sample_0115,305.41,313.7,8.28,2.71
BB01,Christ Church,sample_0116,395.19,402.91,7.72,1.95
BB01,Christ Church,sample_0117,450.9,454.36,3.47,0.77
BB01,Christ Church,sample_0118,257.04,262.36,5.32,2.07
BB01,Christ Church,sample_0119,278.31,283.82,5.5,1.98
BB01,Christ Church,sample_0120,362.07,363.69,1.63,0.45
BB01,Christ Church,sample_0121,442.67,449.73,7.05,1.59
BB01,Christ Church,sample_0122,291.25,294.5,3.25,1.11
BB01,Christ Church,sample_0123,351.98,358.21,6.23,1.77
BB01,Christ Church,sample_0124,339.51,346.12,6.61,1.95
BB01,Christ Church,sample_0125,354.08,360.3,6.23,1.76
BB01,Christ Church,sample_0126,385.69,388.92,3.23,0.84
BB01,Christ Church,sample_0127,447.57,452.58,5.0,1.12
BB01,Christ Church,sample_0128,150.03,157.46,7.43,4.95
BB01,Christ Church,sample_0129,445.92,451.89,5.96,1.34
BB01,Christ Church,sample_0130,340.42,353.0,12.58,3.7
BB01,Christ Church,sample_0131,374.35,380.53,6.18,1.65
BB01,Christ Church,sample_0132,389.73,391.51,1.78,0.46
BB01,Christ Church,sample_0133,376.32,378.17,1.85,0.49
BB01,Christ Church,sample_0134,278.01,282.98,4.96,1.79
